model,problem_id,layer,cosine_similarity
Qwen/Qwen2.5-0.5B-Instruct,word_2,14,0.9838901162147522
Qwen/Qwen2.5-0.5B-Instruct,word_2,15,0.9805256128311157
Qwen/Qwen2.5-0.5B-Instruct,word_2,16,0.9727677702903748
Qwen/Qwen2.5-0.5B-Instruct,word_2,17,0.9653322696685791
Qwen/Qwen2.5-0.5B-Instruct,word_2,18,0.9631044268608093
Qwen/Qwen2.5-0.5B-Instruct,word_2,19,0.9632773995399475
Qwen/Qwen2.5-0.5B-Instruct,word_2,20,0.9567557573318481
Qwen/Qwen2.5-0.5B-Instruct,word_2,21,0.9675580263137817
Qwen/Qwen2.5-0.5B-Instruct,word_2,22,0.9893991947174072
Qwen/Qwen2.5-0.5B-Instruct,word_2,23,0.9889459609985352
Qwen/Qwen2.5-0.5B-Instruct,word_2,24,0.9715794324874878
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,0,0.9631210565567017
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,1,0.9789507985115051
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,2,0.9917648434638977
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,3,0.9787930250167847
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,4,0.991466224193573
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,5,0.9913678765296936
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,6,0.9899293780326843
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,7,0.9859713912010193
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,8,0.9857685565948486
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,9,0.9846842288970947
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,10,0.9843276143074036
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,11,0.9812988638877869
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,12,0.9797219038009644
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,13,0.976515531539917
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,14,0.9777325391769409
Qwen/Qwen2.5-0.5B-Instruct,multistep_1,15,0.9715138077735901
